2024/08/31 22:35:15 | 200 |   0.08ms |     [::1]:52365 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52369 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.10ms |     [::1]:52368 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52370 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52371 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52372 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52373 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52374 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52375 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52376 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52377 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52378 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52379 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52380 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52381 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52382 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52384 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52383 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52386 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.05ms |     [::1]:52385 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52388 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52387 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52389 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52390 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52391 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52392 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52393 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52395 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52394 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52396 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52397 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52399 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52398 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52400 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52401 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52403 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52402 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52404 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52405 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52406 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52407 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52409 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52408 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52411 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52412 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52410 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52413 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52416 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52415 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52417 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52414 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52426 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52418 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52427 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52419 | GET /api/cache
